freq,ori,sf,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,Run,expName,participant,frameRate,
1,0,2,"[-0.66, 0.66]",0,0,0,0,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,45,2,"[-0.66, 0.66]",0,1,1,1,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,90,2,"[-0.66, 0.66]",0,2,2,2,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,135,2,"[-0.66, 0.66]",0,3,3,3,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,0,2,"[0, 0.66]",0,4,4,4,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,45,2,"[0, 0.66]",0,5,5,5,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,90,2,"[0, 0.66]",0,6,6,6,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,135,2,"[0, 0.66]",0,7,7,7,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,0,2,"[0.66, 0.66]",0,8,8,8,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,45,2,"[0.66, 0.66]",0,9,9,9,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,90,2,"[0.66, 0.66]",0,10,10,10,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,135,2,"[0.66, 0.66]",0,11,11,11,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,0,2,"[-0.66, -0.66]",0,12,12,12,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
1,45,2,"[-0.66, -0.66]",0,13,13,13,2017_Jul_06_1050,1,Grating,ANM1,59.1465059025,
